Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
Customer1   ,DRY ,IEL,CFS,CFS,06/03/2014,2.54,BD,NZ
Customer1   ,HIGH,IEL,CFS,CY ,10/02/2014,69.7,VN,IN
Customer1   ,HIGH,IEL,CFS,CY ,29/03/2014,69.89,VN,MY
Customer1   ,DRY ,OCE,CY ,CY ,08/04/2014,17.3,BG,PH
Customer1   ,DRY ,IEL,CFS,CY ,06/03/2014,27.66,CN,ZA
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,24.31,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,22.26,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,28/03/2014,56.479,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,27.27,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,28.59,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,24.77,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,28.64,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,28.21,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,11/02/2014,58.01,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,06/03/2014,27.14,CN,BE
Customer1   ,HIGH,IEL,CY ,CY ,06/03/2014,69.17,ID,BE
Customer1   ,AIR ,AIR,CFS,CFS,28/03/2014,1.45,IT,BR
Customer1   ,DRY ,IEL,CFS,CY ,28/03/2014,52.34,CN,GB
Customer1   ,TRAI,IEL,CFS,CY ,06/03/2014,27.992,TR,BE
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,76.72,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,77.23,CN,BE
Customer1   ,HIGH,IEL,CY ,CY ,06/03/2014,69.4,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,77.09,CN,BE
Customer1   ,DRY ,IEL,CY ,CY ,06/03/2014,58,CN,BE
Customer1   ,HIGH,IEL,CY ,CY ,06/03/2014,68.55,CN,BE
Customer1   ,AIR ,AIR,CFS,CFS,12/02/2014,1.32,IT,TH
Customer1   ,DRY ,IEL,CY ,CY ,06/03/2014,58.44,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,69.84,VN,HK
Customer1   ,HIGH,IEL,CFS,CY ,06/03/2014,70,VN,HK
Customer1   ,AIR ,AIR,   ,   ,06/03/2014,9.041,SG,BE
Customer1   ,HIGH,IEL,CFS,CY ,28/03/2014,79.29,VN,BE
Customer1   ,DRY ,IEL,CFS,CY ,06/03/2014,23.237,CN,GB
Customer1   ,DRY ,IEL,CFS,CY ,06/03/2014,18.27,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,19/04/2014,26.86,CN,PH
Customer1   ,HIGH,IEL,CY ,CY ,19/04/2014,64.39,CN,JP
Customer1   ,AIR ,AIR,CFS,CFS,05/05/2014,2.1,IT,AE
Customer1   ,DRY ,IEL,CFS,CFS,01/04/2014,0,TW,MY
Customer1   ,HIGH,IEL,CY ,CY ,01/04/2014,68.06,CN,BE
Customer1   ,AIR ,AIR,CFS,CY ,02/04/2014,2.873,PK,GB
Customer1   ,HIGH,IEL,CY ,CY ,02/04/2014,81.88,ID,BE
Customer1   ,AIR ,AIR,CFS,CY ,02/04/2014,7.51,VN,BE
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,2.81,TH,CN
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,2.06,TH,CN
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,21.26,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,78.04,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,77.21,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,57.43,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,44.32,CN,BE
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,57.54,CN,BE
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,67.89,ID,ZA
Customer1   ,TRAI,IEL,CFS,CY ,18/04/2014,3,CN,CN
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,21.495,ID,ZA
Customer1   ,AIR ,AIR,CFS,CY ,01/04/2014,1.41,TH,BE
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,49.27,CN,JP
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,50.14,CN,JP
Customer1   ,TRAI,IEL,CFS,CY ,02/04/2014,2.13,CN,CN
Customer1   ,HIGH,IEL,CY ,CY ,01/04/2014,68.83,ID,BE
Customer1   ,HIGH,IEL,CY ,CY ,01/04/2014,68.37,ID,BE
Customer1   ,HIGH,IEL,CY ,CY ,01/04/2014,79.69,ID,BE
Customer1   ,AIR ,AIR,CFS,CFS,01/04/2014,1.851,IL,BR
Customer1   ,TRAI,IEL,CFS,CY ,02/04/2014,0.99,CN,CN
Customer1   ,AIR ,AIR,CFS,CY ,22/03/2014,42.125,CN,BE
Customer1   ,HIGH,IEL,CFS,CFS,19/05/2014,0,CN,MY
Customer1   ,TRAI,IEL,CFS,CY ,01/04/2014,0.67,CN,CN
Customer1   ,HIGH,IEL,CY ,CY ,28/07/2014,66.42,CN,ZA
Customer1   ,HIGH,IEL,CY ,CY ,05/05/2014,68.35,CN,NL
Customer1   ,HIGH,IEL,CFS,CY ,05/05/2014,61.482,ID,NZ
Customer1   ,AIR ,AIR,CFS,CFS,10/03/2014,0.192,IL,PE
Customer1   ,TRAI,IEL,CFS,CY ,01/04/2014,2.36,CN,CN
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,79.89,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,02/04/2014,78.71,ID,BE
Customer1   ,HIGH,IEL,CFS,CY ,02/04/2014,67.012,ID,BE
Customer1   ,DRY ,IEL,CFS,CY ,02/04/2014,17.85,ID,BE
Customer1   ,DRY ,IEL,CFS,CY ,02/04/2014,5.89,ID,BE
Customer1   ,TRAI,IEL,CFS,CY ,01/04/2014,3.12,CN,CN
Customer1   ,HIGH,IEL,CFS,CFS,02/04/2014,0,ID,MY
Customer1   ,HIGH,IEL,CFS,CFS,02/04/2014,0,ID,MY
Customer1   ,HIGH,IEL,CFS,CFS,02/04/2014,0,ID,MY
Customer1   ,HIGH,IEL,CFS,CFS,02/04/2014,0,ID,MY
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,57.96,VN,TW
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,70.99,VN,TW
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,70.49,VN,TW
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,42.89,ID,AE
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,79.58,ID,GB
Customer1   ,DRY ,IEL,CFS,CY ,02/04/2014,7.73,LK,HK
Customer1   ,DRY ,IEL,CFS,CY ,01/04/2014,56.2,TH,JP
Customer1   ,TRAI,IEL,CFS,CY ,02/04/2014,0.846,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,02/04/2014,1.05,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,02/04/2014,2.37,CN,CN
